Jugadores,MIN,PTS,OREB,DREB,REB,AST,FP,PER,ROB,TAP,+/-,EFC,Team,Opp,Resultado,Game_URL,Fecha,Match_ID,Inicialistas,#_MADE,#_ATTEMPT,TCC,TCI,2PC,2PI,3PC,3PI,TLC,TLI
Florencia Mayola,22.7,5.0,0.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,2.0,9.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,7.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0
Carolina Fernandez ,33.4,24.0,1.0,0.0,1.0,4.0,5.0,9.0,1.0,0.0,-2.0,11.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,8.0,0.0,8.0,17.0,4.0,6.0,4.0,11.0,4.0,5.0
Maria Jourdheuil ,32.58,14.0,1.0,4.0,5.0,2.0,3.0,2.0,1.0,0.0,-7.0,11.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,9.0,0.0,3.0,11.0,1.0,2.0,2.0,9.0,6.0,7.0
Paige Cannon ,23.23,8.0,2.0,3.0,5.0,0.0,5.0,4.0,0.0,1.0,-4.0,5.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,10.0,0.0,4.0,9.0,4.0,7.0,0.0,2.0,0.0,0.0
Carla Miculka ,38.68,10.0,2.0,11.0,13.0,3.0,4.0,1.0,1.0,0.0,-6.0,21.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,Sí,11.0,0.0,3.0,6.0,3.0,5.0,0.0,1.0,4.0,6.0
Emilia Larre,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sofia Guerra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ailen Sosa,19.63,3.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,0.0,-13.0,1.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,22.0,0.0,1.0,5.0,0.0,2.0,1.0,3.0,0.0,0.0
Selena Medrick,9.82,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,28.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0
Paula Fernandez,5.78,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,-3.0,3.0,Malvin,Ferro,Derrota,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118316-FCO-MAL,14/SEPT/24,118316-FCO-MAL,No,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lara Leivas ,26.52,13.0,3.0,1.0,4.0,1.0,3.0,2.0,0.0,0.0,12.0,9.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,Sí,6.0,0.0,6.0,12.0,5.0,9.0,1.0,3.0,0.0,1.0
Sol Depetris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Union Florida,Sportiva Italiana,Victoria,https://www.fiba.basketball/es/events/womens-basketball-league-americas-2024/games/118317-CUF-SSI,14/SEPT/24,118317-CUF-SSI,No,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
